order_id,order_date,customer_id,customer_name,product_name,category,quantity,unit_price,total_sales,payment_method
A10048,19/01/2026,C9990,Felicia Garcia,rest,Fashion,1,27357.95,26636.54,COD
A10049,30/01/2026,C7999,Haley Arroyo,hospital,Fashion,4,6284.88,20976.05,UPI
A10050,19/01/2026,C4790,Kevin Allen Jr.,stuff,Fashion,4,20837.93,80152.31,NetBanking
A10051,03/02/2026,C8291,Melissa Sharp,professional,Fashion,4,39983.39,143997.05,UPI
A10052,05/02/2026,C5780,Nicholas Rivera,local,Fashion,2,19749.22,30147.94,NetBanking
A10053,03/02/2026,C5678,Melissa Kramer,both,Home,3,15173.45,41049.14,COD
A10054,25/01/2026,C9103,Calvin Good,bit,Home,2,27975.87,54418.00,NetBanking
A10055,23/01/2026,C7427,Ryan Lang,structure,Home,3,40954.08,109430.83,Card
A10056,25/01/2026,C8942,Katie Jones,service,Home,5,19710.75,83795.12,Card
A10057,03/02/2026,C6760,Zachary Lang,line,Home,4,31801.02,127283.47,Card
A10058,13/01/2026,C9162,Krista Johnson,whom,Fashion,2,34666.81,50719.82,COD
A10059,06/01/2026,C2435,Theresa Obrien,he,Fashion,4,23387.53,66445.74,Card
A10060,08/02/2026,C3433,Brooke Johnson,choice,Fashion,4,45173.84,155468.87,Card
A10061,07/02/2026,C9715,Danny Hart,realize,Electronics,1,48746.16,40042.22,COD
A10062,20/01/2026,C6440,Steven Simmons,single,Fashion,3,47208.53,117677.32,NetBanking
A10063,13/01/2026,C8691,Donna Walsh,process,Fashion,4,39403.40,113608.68,UPI
A10064,25/01/2026,C1421,Toni Lopez,guy,Fashion,1,10336.80,9965.87,NetBanking
A10065,14/01/2026,C6075,Teresa Summers,house,Home,2,34135.35,49182.87,COD
A10066,14/01/2026,C1156,Julie Andersen,challenge,Electronics,1,7373.11,5950.12,Card
A10067,12/01/2026,C9749,Darryl Ramirez,customer,Home,3,33032.47,89241.46,COD
A10068,26/01/2026,C9187,Zachary Jones,call,Electronics,3,46261.86,120792.56,Card
A10069,06/02/2026,C2089,Patrick Stevens,hospital,Fashion,2,42173.72,70967.04,UPI
A10070,15/01/2026,C9659,Elizabeth Guerra,hit,Electronics,5,19513.14,72325.42,Card
A10071,08/01/2026,C3053,Katherine Wiggins,mention,Electronics,5,48262.68,236539.92,COD
A10072,10/02/2026,C1833,Lance Smith,forget,Home,1,46401.18,45969.77,UPI
A10073,07/02/2026,C3373,Stephanie Russell,American,Electronics,5,7926.60,31349.65,COD
A10074,28/01/2026,C3889,Catherine Ramos,guy,Electronics,3,43809.55,109220.71,Card
A10075,26/01/2026,C7562,Amber Boyd,produce,Fashion,3,12235.34,36487.34,UPI
A10076,13/01/2026,C8868,Donna Rice,recently,Electronics,2,49895.08,76925.34,UPI
A10077,05/01/2026,C3225,Michael Atkinson,threat,Electronics,5,43216.87,201100.08,NetBanking
A10078,01/01/2026,C8939,Kristi Powell,resource,Home,4,17908.70,57340.57,UPI
A10079,21/01/2026,C1271,Chloe Gordon,focus,Fashion,5,15962.55,71918.49,COD
A10080,18/01/2026,C8041,Kevin Stewart,middle,Home,5,42671.25,160076.37,NetBanking
A10081,01/02/2026,C8500,Gregory Atkinson,free,Home,2,19034.51,37448.04,UPI
A10082,28/01/2026,C8501,David Taylor,but,Fashion,4,456.92,1822.82,UPI
A10083,07/02/2026,C4385,Nicole Buchanan,charge,Fashion,3,28427.24,70817.88,COD
A10084,16/01/2026,C9389,Ashley Powell,matter,Fashion,5,8438.88,40141.79,NetBanking
A10085,10/01/2026,C7775,Robert Griffin,throw,Fashion,5,13146.23,56618.19,COD
A10086,05/01/2026,C6412,Tracie Shah,although,Electronics,3,37180.10,89295.35,COD
A10087,07/02/2026,C6626,Raven Barajas,hand,Fashion,1,2448.51,2135.02,UPI
A10088,26/01/2026,C6475,Elizabeth Wood,beautiful,Home,2,10365.98,17065.39,Card
A10089,17/01/2026,C3275,Deanna Gilbert,easy,Home,3,7676.71,17876.90,UPI
A10090,22/01/2026,C2401,Michael Barnett,certain,Fashion,4,6909.83,24087.66,COD
A10091,12/01/2026,C6713,Valerie Stanley,name,Fashion,1,27049.63,20354.35,Card
A10092,18/01/2026,C4904,Scott Smith,soon,Fashion,4,37990.33,146000.78,UPI
A10093,19/01/2026,C9758,Christopher Brown,specific,Fashion,2,14317.44,20476.15,NetBanking
A10094,31/01/2026,C2600,Kelsey Carter DVM,with,Home,4,27289.16,86338.08,COD
A10095,17/01/2026,C2177,Tammy Bowman,coach,Fashion,2,4333.70,7316.19,COD
A10096,10/01/2026,C4805,Glenn Walker,window,Fashion,4,16203.28,61653.47,NetBanking
A10097,04/01/2026,C6937,Kevin Arias,all,Electronics,5,15727.41,58329.85,Card
A10098,06/02/2026,C4998,Kevin Elliott,southern,Electronics,1,4540.82,4356.71,UPI
A10099,30/01/2026,C8263,Daniel Richards,themselves,Electronics,3,41981.40,88216.45,UPI
A10100,03/02/2026,C5258,Jacob Flores,number,Fashion,1,34735.20,34512.50,NetBanking
A10101,01/02/2026,C9020,Martin Liu,standard,Fashion,2,32433.96,49990.78,NetBanking
A10102,07/02/2026,C2770,Victor Cummings,mouth,Fashion,5,43242.93,190319.48,UPI
A10103,28/01/2026,C3675,Andrea Walker,ago,Fashion,5,12346.84,55012.91,Card
A10104,01/02/2026,C8752,Tracie Petty,discussion,Fashion,5,35496.31,143898.56,Card
A10105,22/01/2026,C7207,Bruce Bishop,feel,Electronics,3,15158.66,35599.23,COD
A10106,28/01/2026,C8351,Jeffrey Palmer,before,Electronics,2,19410.84,35463.73,COD
A10107,08/02/2026,C5941,Michelle Brown,play,Home,4,10630.49,34065.77,Card
A10108,31/01/2026,C4715,John Forbes,beyond,Electronics,1,20193.88,20234.34,NetBanking
A10109,02/01/2026,C1583,Jay Holder,behavior,Electronics,1,45862.74,40405.38,NetBanking
A10110,02/02/2026,C9202,Karen Lopez,force,Electronics,5,14145.68,66583.53,Card
A10111,14/01/2026,C1581,Kelli Phillips,maybe,Home,2,10238.28,17308.25,UPI
A10112,05/01/2026,C2266,Kaylee Davenport,song,Fashion,5,8585.73,33618.87,NetBanking
A10113,05/02/2026,C7597,Anthony Boyd,it,Electronics,2,47935.48,70070.80,UPI
A10114,05/01/2026,C2290,Megan Wilson,control,Electronics,4,9667.54,27532.90,Card
A10115,07/02/2026,C9996,Joseph Jones,resource,Fashion,2,28920.75,53892.39,COD
A10116,22/01/2026,C9051,Brian Miller,alone,Home,5,2094.14,9598.81,UPI
A10117,23/01/2026,C2968,Theodore Smith,measure,Electronics,4,26210.55,81881.93,COD
A10118,26/01/2026,C4400,Scott Lee,these,Home,5,36147.11,175370.37,Card
A10119,01/02/2026,C2754,Patricia Gray,style,Home,5,30013.65,136699.38,UPI
A10120,31/01/2026,C3325,Robert Villarreal,major,Electronics,1,26186.41,24179.64,UPI
A10121,23/01/2026,C3976,John Davis,rich,Fashion,2,25703.11,46295.68,COD
A10122,14/01/2026,C7955,Yolanda Walter,media,Home,2,43148.95,69066.33,UPI
A10123,01/02/2026,C3806,Derek Smith,call,Home,1,14137.85,11094.29,NetBanking
A10124,06/02/2026,C9086,Leon Huynh,fill,Electronics,2,47364.78,74889.60,COD
A10125,30/01/2026,C5193,Daniel Anderson,chair,Home,1,20882.10,20773.59,NetBanking
A10126,11/01/2026,C9669,Daniel Moore,involve,Electronics,1,46950.84,39471.11,UPI
A10127,19/01/2026,C4919,Hannah Garcia,off,Home,4,24597.23,89565.56,COD
A10128,07/02/2026,C8042,Mr. Michael Jones,financial,Fashion,3,44283.56,95747.73,Card
A10129,28/01/2026,C8071,Julia Fisher,everyone,Electronics,3,16359.88,39841.23,COD
A10130,05/02/2026,C4150,Duane Hanson,benefit,Home,2,29573.33,50320.14,UPI
A10131,04/01/2026,C9815,Christopher Olson,door,Home,5,17450.05,76853.52,UPI
A10132,01/02/2026,C4828,Jennifer Robinson,professor,Electronics,4,29887.09,105311.61,COD
A10133,18/01/2026,C6361,Eileen Page,push,Electronics,1,16760.05,16907.00,COD
A10134,24/01/2026,C8399,Suzanne Rowland DVM,and,Electronics,2,40177.28,59498.28,NetBanking
A10135,30/01/2026,C1540,Morgan Morgan,understand,Fashion,1,14474.68,10161.54,Card
A10136,03/01/2026,C8306,Lisa Ellis,make,Electronics,4,19323.75,59570.59,COD
A10137,18/01/2026,C7539,Gina Chambers,lawyer,Fashion,2,9461.42,13348.96,Card
A10138,07/02/2026,C7215,Heidi Bailey,else,Fashion,3,35694.44,107179.24,Card
A10139,01/01/2026,C8923,Dominique Welch,whole,Electronics,5,9960.71,45347.59,Card
A10140,12/01/2026,C2053,Albert Jacobs,stop,Electronics,4,16124.30,57497.33,Card
A10141,24/01/2026,C8259,Emily Swanson,recent,Home,4,41445.05,127776.34,UPI
A10142,13/01/2026,C7168,Debra Yates,let,Electronics,3,6490.79,17548.74,Card
A10143,21/01/2026,C4353,Patrick Sutton,trouble,Home,4,22462.66,84521.46,Card
A10144,30/01/2026,C7791,Mia Davis,easy,Home,2,35884.79,71871.45,NetBanking
A10145,10/02/2026,C5596,Angela Martin,behavior,Electronics,5,20083.20,93428.63,COD
A10146,15/01/2026,C4332,Charles Mcgrath,many,Fashion,5,8153.53,34312.43,NetBanking
A10147,08/02/2026,C6966,Michael Peck,whole,Electronics,2,39505.75,60883.24,Card
A10148,11/01/2026,C2612,Steven Nguyen,surface,Electronics,5,30566.20,116261.12,NetBanking
A10149,15/01/2026,C5121,Jonathan Lewis Jr.,clearly,Electronics,1,20123.50,18018.26,NetBanking
A10150,07/02/2026,C4337,Rachel Davis,its,Electronics,3,36599.84,101135.36,NetBanking
A10151,01/01/2026,C1076,Richard Gonzalez,report,Fashion,4,46806.95,159259.55,UPI
A10152,11/01/2026,C2718,Jeffrey Smith,just,Electronics,1,40483.48,33325.59,UPI
A10153,06/01/2026,C8634,Cynthia Rivera,what,Home,3,216.91,637.08,Card
A10154,18/01/2026,C1695,Julie Sutton,data,Home,4,20670.80,80310.94,COD
A10155,28/01/2026,C1892,Kayla Lynch,industry,Electronics,5,30324.11,133460.00,COD
A10156,28/01/2026,C4233,Michael Vazquez,power,Home,1,15162.61,12363.31,COD
A10157,04/02/2026,C5317,Lawrence Silva,operation,Electronics,5,5256.23,19224.77,COD
A10158,11/01/2026,C9697,Travis Alexander,blood,Fashion,4,20140.86,69363.83,NetBanking
A10159,09/01/2026,C8211,Michelle Mitchell,class,Electronics,4,9338.50,31890.40,UPI
A10160,06/01/2026,C6680,Robin Brooks,suddenly,Home,5,3040.36,11698.81,UPI
A10161,13/01/2026,C8517,Tyler Harrell,plan,Home,3,8820.90,23385.37,NetBanking
A10162,28/01/2026,C5431,Robert Lopez,character,Electronics,1,47074.43,37688.52,Card
A10163,21/01/2026,C7691,Dawn Holmes,around,Electronics,5,21517.07,104464.61,NetBanking
A10164,13/01/2026,C6952,Peggy Moreno,think,Home,5,47190.87,200633.45,UPI
A10165,05/02/2026,C5290,Kimberly Jackson,cost,Home,2,19380.02,34143.93,COD
A10166,02/01/2026,C9397,Anthony Vasquez,well,Home,3,2859.81,8443.55,UPI
A10167,06/01/2026,C9263,Nathan Medina,democratic,Electronics,3,37641.68,106247.53,UPI
A10168,16/01/2026,C6823,Anna Anderson,same,Electronics,2,46943.06,92120.45,COD
A10169,08/02/2026,C6661,Stacy Brown,history,Home,5,27103.09,112512.15,COD
A10170,10/01/2026,C8492,Dennis Cooper,no,Home,4,2358.75,7875.16,UPI
A10171,10/02/2026,C9434,Elizabeth Frye,worry,Fashion,4,36440.47,113724.80,NetBanking
A10172,29/01/2026,C2808,Stephanie Brown,method,Fashion,1,37061.31,26819.63,COD
A10173,01/01/2026,C1424,Christopher Chavez,far,Fashion,2,44566.05,68761.53,Card
A10174,20/01/2026,C1261,David Roberts,institution,Electronics,4,34130.34,133871.61,NetBanking
A10175,06/01/2026,C9530,Laura Pitts,add,Electronics,5,49230.88,174838.27,NetBanking
A10176,06/01/2026,C3125,Julie Orozco,significant,Electronics,1,4378.88,3456.95,UPI
A10177,18/01/2026,C7636,Kenneth Espinoza,over,Electronics,4,24122.68,91719.83,NetBanking
A10178,06/02/2026,C3204,Kenneth Drake,eye,Home,1,39249.22,37342.83,UPI
A10179,05/02/2026,C8882,Stephen Zhang,fine,Fashion,2,2442.46,3798.88,UPI
A10180,06/02/2026,C8605,Melissa Marquez,night,Fashion,5,27126.66,100480.13,COD
A10181,19/01/2026,C6668,Tricia Shaw,entire,Electronics,1,517.13,527.71,NetBanking
A10182,13/01/2026,C7471,Ernest Shaffer,thought,Electronics,4,11567.89,35757.65,COD
A10183,04/01/2026,C8609,Lynn Weaver,we,Electronics,4,46182.97,151559.90,COD
A10184,17/01/2026,C9422,Robert Hall,else,Home,1,27051.13,22542.13,UPI
A10185,16/01/2026,C7329,Ryan Garcia,test,Electronics,5,22114.95,77451.52,COD
A10186,24/01/2026,C2120,Beth Williams,instead,Electronics,3,48879.29,107176.07,NetBanking
A10187,02/01/2026,C5551,Crystal Allen,site,Fashion,2,5435.48,9142.19,COD
A10188,01/01/2026,C8683,Mary Herring,message,Fashion,2,18363.27,28388.80,UPI
A10189,15/01/2026,C4104,Ryan Hughes,hope,Fashion,1,982.34,777.01,Card
A10190,04/02/2026,C8941,Douglas Haas,technology,Electronics,5,32145.45,120646.02,COD
A10191,07/02/2026,C7590,Michael Petty,per,Home,3,29322.55,77551.83,COD
A10192,22/01/2026,C8148,Bryan Oconnor,economy,Home,5,5178.92,23957.94,NetBanking
A10193,26/01/2026,C4637,Kristina Castro,federal,Home,5,32434.80,154115.27,UPI
A10194,20/01/2026,C3212,Diana Garcia,trouble,Fashion,1,12252.60,12010.23,UPI
A10195,03/02/2026,C9769,Joshua Sanchez,provide,Electronics,2,14120.98,26897.77,COD
A10196,14/01/2026,C6493,Michelle Branch,raise,Home,3,38098.75,101761.27,UPI
A10197,01/02/2026,C1552,Monica Moore,leave,Home,5,39866.66,155516.64,Card
A10198,18/01/2026,C1816,Lisa Mcdaniel,same,Electronics,5,49067.45,179209.68,COD
A10199,04/01/2026,C9186,Priscilla Jones,picture,Electronics,1,38910.59,37380.68,COD
A10200,22/01/2026,C1883,Sheri Ingram,impact,Electronics,2,7485.81,13009.92,Card
A10201,08/01/2026,C4102,Kimberly Lopez,office,Fashion,3,46122.93,137035.70,NetBanking
A10202,05/02/2026,C4401,Jennifer Taylor,condition,Fashion,4,8812.73,34282.20,COD
A10203,02/01/2026,C8089,Regina Nguyen,where,Fashion,4,11865.67,38119.48,NetBanking
A10204,07/02/2026,C7217,Sarah Adams,window,Home,3,40989.14,107084.69,NetBanking
A10205,21/01/2026,C8980,Joshua Henry,relate,Fashion,5,34883.06,134359.03,UPI
A10206,20/01/2026,C8329,Joshua Jackson,wait,Electronics,5,42363.61,169482.36,NetBanking
A10207,07/01/2026,C2035,Jesse Stanley,pattern,Home,5,19396.71,77633.39,COD
A10208,18/01/2026,C1590,Justin Mitchell,director,Fashion,3,48088.38,128466.93,UPI
A10209,04/02/2026,C6319,Steven Nelson,movie,Home,3,28115.94,83525.71,NetBanking
A10210,04/02/2026,C8384,Troy Allen,defense,Fashion,4,41283.96,158616.55,UPI
A10211,10/01/2026,C3413,Amber Terry,policy,Home,3,47870.19,132203.26,Card
A10212,01/01/2026,C9157,Emily Glass,both,Electronics,4,10873.69,35781.76,COD
A10213,09/02/2026,C7858,Krista Hernandez,just,Home,3,5922.23,15398.45,UPI
A10214,09/02/2026,C9130,Deborah Guerra,maybe,Home,2,25534.63,43039.27,Card
A10215,03/02/2026,C4857,Joel Thomas,provide,Electronics,5,47758.61,231675.87,COD
A10216,02/01/2026,C4995,Amy Chapman,miss,Electronics,3,21293.57,63365.06,Card
A10217,01/01/2026,C1117,Kimberly Perez,according,Electronics,1,17984.59,16283.30,Card
A10218,01/02/2026,C1708,Alexander Ramirez,save,Electronics,5,39184.06,160774.14,Card
A10219,28/01/2026,C5175,Rachel Lynch,professional,Home,2,31575.04,57513.09,COD
A10220,29/01/2026,C3910,Robert Harvey,piece,Home,3,26140.47,65974.39,NetBanking
A10221,27/01/2026,C4224,Melissa Floyd,month,Fashion,2,2867.73,5629.99,Card
A10222,06/02/2026,C6097,Eric Ford,during,Home,3,40982.10,89837.43,COD
A10223,04/01/2026,C2474,Mia Arellano,wall,Electronics,5,5469.58,25733.56,Card
A10224,14/01/2026,C4686,Kelly Shannon,choose,Electronics,5,17311.72,82294.64,UPI
A10225,20/01/2026,C2104,Taylor Nolan,stay,Fashion,3,19331.44,55212.13,COD
A10226,03/02/2026,C8415,Gina Kelly,training,Fashion,3,13699.75,33374.68,Card
A10227,25/01/2026,C2573,Corey Morris,technology,Home,5,35095.97,152792.67,COD
A10228,09/02/2026,C8459,Amy Love,our,Fashion,4,18685.27,68083.68,UPI
A10229,30/01/2026,C5454,Kaitlyn Mccullough,put,Fashion,2,31775.56,46470.03,UPI
A10230,06/01/2026,C8692,Kimberly Doyle,account,Home,1,14192.23,11442.64,COD
A10231,05/01/2026,C1324,Andrea Thomas,story,Electronics,4,37710.20,126835.71,Card
A10232,02/02/2026,C4097,Andrew Terrell,attorney,Electronics,4,47837.18,187582.24,UPI
A10233,02/02/2026,C8600,Andrew Lewis,face,Electronics,2,35754.74,58747.45,NetBanking
A10234,15/01/2026,C5397,Melissa Caldwell,age,Fashion,1,44544.01,33911.20,Card
A10235,18/01/2026,C8701,Joseph Bolton,source,Home,3,31767.77,86773.18,NetBanking
A10236,24/01/2026,C3292,Krista Galloway,meet,Electronics,2,37171.06,66240.84,UPI
A10237,05/02/2026,C1617,Annette Hart,level,Home,4,24922.46,95748.72,NetBanking
A10238,04/02/2026,C2410,Dylan Potts,company,Electronics,2,1145.59,1980.91,NetBanking
A10239,12/01/2026,C5589,Nicole Wilson,bank,Fashion,5,23179.14,107901.09,Card
A10240,06/01/2026,C4295,Stephanie Solis,only,Fashion,2,47830.24,83278.69,Card
A10241,28/01/2026,C5973,Cindy Thornton,physical,Electronics,2,10068.06,17749.16,NetBanking
A10242,10/02/2026,C5069,Michael Brown,because,Fashion,3,3318.44,9174.15,UPI
A10243,31/01/2026,C6694,Mr. Samuel Saunders,baby,Fashion,4,26825.98,98763.07,NetBanking
A10244,26/01/2026,C6180,Brittany Mason,subject,Home,3,45759.66,108572.12,Card
A10245,02/01/2026,C9631,Isaiah Haynes,difference,Fashion,4,30728.54,92272.55,Card
A10246,16/01/2026,C7528,Kenneth Logan,account,Home,3,17376.00,48051.27,Card
A10247,14/01/2026,C8785,Kendra Espinoza,major,Fashion,2,49361.07,71193.92,UPI
A10248,02/02/2026,C7210,Karen Decker,treatment,Home,2,26827.30,45675.38,COD
A10249,04/01/2026,C4579,Matthew Lee,treat,Home,4,22910.54,73403.82,COD
A10250,04/02/2026,C4592,Glenn Peterson,card,Fashion,3,28196.15,82088.01,COD
A10251,09/02/2026,C3998,Gregory Gross,indeed,Fashion,2,32937.91,58047.24,UPI
A10252,02/01/2026,C8308,Richard James,leg,Electronics,4,27826.63,98069.59,Card
A10253,01/01/2026,C6586,Deborah Johns,administration,Home,1,11280.77,10649.46,COD
A10254,10/02/2026,C6255,Tim Sampson,those,Fashion,4,2009.44,7315.89,COD
A10255,09/02/2026,C6860,Anthony Lopez,data,Fashion,5,39077.24,170015.08,COD
A10256,08/01/2026,C3453,Jill Potter,whose,Electronics,3,46433.78,132366.47,COD
A10257,27/01/2026,C7866,Mark Wise,its,Electronics,2,16141.47,31078.73,UPI
A10258,26/01/2026,C3442,Jennifer Jenkins,move,Electronics,2,41791.23,80388.69,UPI
A10259,12/01/2026,C6796,Wendy Guzman,measure,Electronics,4,7417.07,29455.51,UPI
A10260,31/01/2026,C9802,Teresa Sandoval,middle,Fashion,3,594.75,1379.02,Card
A10261,22/01/2026,C8066,Jessica Gill,born,Electronics,5,8900.32,36172.34,Card
A10262,16/01/2026,C6345,David Miles,it,Home,3,1196.08,2676.89,UPI
A10263,23/01/2026,C2448,Kelly Ross,a,Electronics,5,41013.98,182617.23,Card
A10264,28/01/2026,C4607,Nicholas Willis,military,Electronics,1,39492.89,28950.00,Card
A10265,20/01/2026,C5203,Katherine Clark,day,Electronics,1,16664.62,14273.80,UPI
A10266,28/01/2026,C9007,Jordan Lane,road,Home,5,33629.98,148052.71,Card
A10267,22/01/2026,C4843,Barbara Reed,increase,Electronics,5,1459.49,6994.76,NetBanking
A10268,26/01/2026,C9444,Stephanie Lopez,return,Home,1,6178.53,5559.79,UPI
A10269,22/01/2026,C4073,Laura Torres,soldier,Home,2,1153.37,2282.60,NetBanking
A10270,05/02/2026,C7169,Randall Martin,off,Fashion,3,636.75,1995.45,Card
A10271,04/01/2026,C6325,Amanda Chang,mother,Electronics,3,26473.65,56450.29,Card
A10272,02/02/2026,C5774,Sharon House,black,Home,5,16638.13,76660.04,Card
A10273,03/01/2026,C9521,Frances Burgess,happen,Electronics,5,36248.94,135979.65,COD
A10274,14/01/2026,C6310,Jeffrey Smith,city,Fashion,2,22396.57,37647.24,COD
A10275,08/01/2026,C6063,Jacob Nguyen,learn,Home,1,34642.91,29937.02,COD
A10276,20/01/2026,C7995,Heather Kelly,arrive,Electronics,3,25255.21,57624.26,NetBanking
A10277,06/01/2026,C9864,Christy Ryan,company,Home,2,49415.09,73239.66,NetBanking
A10278,07/01/2026,C6051,Gregory Harris,whether,Electronics,3,23155.93,59872.04,UPI
A10279,05/02/2026,C9448,Connie Jackson,nor,Home,2,34178.53,52706.20,NetBanking
A10280,13/01/2026,C5057,Samantha Kemp,together,Electronics,3,28859.45,66785.39,Card
A10281,08/01/2026,C4370,Ruth Shaw,process,Electronics,2,46377.07,79797.13,NetBanking
A10282,20/01/2026,C8369,Jason Holloway,majority,Electronics,1,21115.17,19734.81,Card
A10283,06/02/2026,C7897,Carol Williams,air,Fashion,1,25000.78,24383.40,UPI
A10284,01/01/2026,C2369,Richard Carney,sit,Electronics,5,48289.91,205271.78,UPI
A10285,27/01/2026,C1305,Mary Woods,condition,Home,1,23004.09,23054.64,NetBanking
A10286,07/02/2026,C7923,Holly Price,amount,Fashion,4,24014.60,80808.32,COD
A10287,11/01/2026,C7692,Jon Pierce,people,Home,5,49018.09,196143.38,UPI
A10288,21/01/2026,C9081,Kathleen Gonzales,entire,Fashion,5,25714.50,96531.09,Card
A10289,05/01/2026,C8564,James Mendoza PhD,leave,Home,2,40316.11,73469.95,Card
A10290,31/01/2026,C8061,Kirsten Goodwin,everything,Home,4,23152.60,76998.59,UPI
A10291,06/01/2026,C4682,Stefanie Mata,television,Electronics,1,9783.67,9110.03,UPI
A10292,14/01/2026,C8670,Stephanie Vang,yet,Fashion,1,21286.31,19657.25,UPI
A10293,04/01/2026,C8372,Sara West,side,Fashion,1,23224.84,22605.64,COD
A10294,04/01/2026,C6726,David Cordova,ball,Home,4,41590.28,129837.50,UPI
A10295,06/02/2026,C8590,Andrea Curry,field,Fashion,1,34797.30,29626.83,NetBanking
A10296,09/02/2026,C8405,David Price,choice,Electronics,4,23222.30,80868.28,NetBanking
A10297,04/02/2026,C3365,Jared Farley,table,Fashion,1,13381.44,11119.10,Card
A10298,02/01/2026,C4609,Andrew Wheeler,kind,Fashion,1,37727.20,34041.97,NetBanking
